pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair A,W_bank_bin,Non-border,0.6000000000000001,629,0.9991429620704624,0.0007626260165790809,-36871.979462738556,0.2841381149234531,10783.177949173385,2.281884496598405,0.02762259047080243
Pair A,W_bank_bin,Non-border,0.65,629,0.9985134950405774,0.0008547320641537201,-36685.57650859908,0.25876741914197254,10577.03662945417,2.2304177850100757,0.028641513150969286
Pair A,W_bank_bin,Non-border,0.7000000000000001,629,0.9970567482135322,0.0010934935329359832,-36538.470181267716,0.2369595177324995,10506.30863621785,2.169119694388003,0.029775984726809753
Pair A,W_bank_bin,Non-border,0.75,629,0.9926289547448288,0.0018269441990458367,-36442.9922840525,0.21933412440810687,10549.75778921722,2.1023266040755573,0.030916642705900124
Pair A,W_bank_bin,Non-border,0.8,629,0.9755489022874558,0.003459843555938562,-36405.84090094921,0.20869619052713786,10525.612618496292,2.0565956547990996,0.03158595624474094
Pair A,W_bank_bin,Non-border,0.8500000000000001,629,0.9428260069374027,0.004036246528901576,-36410.67822299859,0.20537795340220844,10172.209576408108,2.054136896609511,0.03146598443520637
Pair A,W_bank_bin,Non-border,0.9,629,0.9048675107407204,0.004050517690697096,-36437.60020366966,0.20564920220242278,9806.554046627574,2.076906813755655,0.03092572457707871
Pair A,W_bank_bin,Non-border,0.9500000000000001,629,0.8666894967816373,0.003957662432570598,-36476.52399143987,0.2075954965639414,9553.518391527668,2.110345215810112,0.03020846634168061
Pair A,W_bank_bin,Non-border,1.0,629,0.8299325979052443,0.003836081439887052,-36522.397499529565,0.21045461976725094,9371.481434326632,2.1472391385090637,0.029423370669379917
Pair B,W_bank_count,Non-border,0.0,629,0.9845222644125498,0.0025055183617328962,-39845.85369962517,0.8248545814276136,440419.1119249738,2.497098832652961,0.02166738337880202
Pair B,W_bank_count,Non-border,0.05,629,0.9869318263032335,0.0022640128346014038,-39580.569400577515,0.7605023523174849,495698.54183855845,2.489782769580739,0.02182580911834155
Pair B,W_bank_count,Non-border,0.1,629,0.9832800176257237,0.0029973137204353344,-39324.16668020947,0.7028747391168614,220138.27094522407,2.483610237874726,0.022011760503466343
Pair B,W_bank_count,Non-border,0.15000000000000002,629,0.981819011189491,0.00336149112230371,-39068.517021673375,0.6481876719516009,127966.42635083673,2.4766069014297587,0.022236907535111424
Pair B,W_bank_count,Non-border,0.2,629,0.982113441137341,0.0034224321656420088,-38811.94378736039,0.5962045474511608,82520.2615273718,2.4684539190821266,0.022507368417100656
Pair B,W_bank_count,Non-border,0.25,629,0.9841408808351852,0.003179571623778075,-38553.803984469225,0.5467429016388761,55081.66990103983,2.458813052381148,0.022834397676613865
Pair B,W_bank_count,Non-border,0.30000000000000004,629,0.9881444470184154,0.0025853785338023,-38293.85867410172,0.49958532578947656,36216.83142685858,2.4472131429105994,0.023234428455801474
Pair B,W_bank_count,Non-border,0.35000000000000003,629,0.9932523197020182,0.0017749800819492191,-38032.563714800875,0.4547297615952297,23491.193368669014,2.4328365306971054,0.02370964265396562
Pair B,W_bank_count,Non-border,0.4,629,0.9963470870645732,0.0012816461201230996,-37772.65965316531,0.4130606336820274,17357.562374724635,2.4147070163699316,0.024229033689872097
Pair B,W_bank_count,Non-border,0.45,629,0.997785372712936,0.0010557274552939655,-37518.36670021887,0.37492148062832625,14511.458442005622,2.3922391555722897,0.024811907917132826
Pair B,W_bank_count,Non-border,0.5,629,0.9984570077608811,0.0009476699748416647,-37273.984375632266,0.3402357110856365,12949.492911665577,2.3645546112575646,0.025486765968118618
Pair B,W_bank_count,Non-border,0.55,629,0.9986447353787516,0.000910012110612611,-37044.52250016268,0.3089551067107208,12002.853818484644,2.330431052198653,0.026274378283091787
Pair B,W_bank_count,Non-border,0.6000000000000001,629,0.9983792226470887,0.0009384891555893723,-36836.23698443695,0.2810604361952115,11412.166229051,2.2884401802475285,0.027190297820283267
Pair B,W_bank_count,Non-border,0.65,629,0.9974656396972611,0.001067563012547184,-36657.02055715813,0.2565784450720895,11065.456017171986,2.237275316516327,0.028238511231788593
Pair B,W_bank_count,Non-border,0.7000000000000001,629,0.9950793673434026,0.001433016947957095,-36516.636370400985,0.23570744216367218,10918.722049138385,2.177006885249229,0.029386269853419356
Pair B,W_bank_count,Non-border,0.75,629,0.9876372404974353,0.002471418856192906,-36425.49965150241,0.21942228224937596,10944.687817910093,2.1148256853819043,0.030459458108202817
Pair B,W_bank_count,Non-border,0.8,629,0.9681360659600468,0.0037806397434491236,-36386.707613091545,0.20957474653737612,10865.057229839527,2.0732631476699335,0.03105596115180062
Pair B,W_bank_count,Non-border,0.8500000000000001,629,0.9383440443271792,0.004107329422477711,-36390.0185140411,0.20539805229357028,10403.429626432973,2.063682219924958,0.031095580038754407
