sample,estimator,kernel,cutoff_km,meat_psd_clip_pct,beta,se,ci_lower,ci_upper,ci_width,t_stat,p_value,B_state,B_spatial_band,B_overlap_band,frac_same_state_band
Contig,Spatial HAC bartlett_100km,bartlett,100.0,0.0,0.037708871910715244,0.009005180439317705,0.02005871824965254,0.05535902557177795,0.03530030732212541,4.187464333982,2.8208833248970803e-05,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC bartlett_250km,bartlett,250.0,0.0,0.037708871910715244,0.009161452430675211,0.01975242514659183,0.05566531867483866,0.035912893528246836,4.116036425016514,3.854434176041959e-05,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC bartlett_500km,bartlett,500.0,0.0,0.037708871910715244,0.009949942872511983,0.01820698388059176,0.057210759940838726,0.039003776060246964,3.789858132240229,0.00015073334763194806,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band,binary_band,,0.0,0.037708871910715244,0.012265555739302651,0.01366838266168205,0.06174936115974844,0.04808097849806639,3.074371248412683,0.002109467512157966,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_knn3,binary_band,,0.0,0.037708871910715244,0.008669272385416859,0.0207170980352982,0.05470064578613229,0.03398354775083409,4.349715897051264,1.3631402012364594e-05,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_knn4,binary_band,,0.0,0.037708871910715244,0.008786655220852023,0.020487027677845278,0.05493071614358521,0.03444368846573993,4.2916070976845155,1.773846125016792e-05,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_count_knn3,binary_band,,0.0,0.037708871910715244,0.00821606406559842,0.021605386342142343,0.05381235747928814,0.032206971137145796,4.589651639719621,4.439863580471479e-06,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_count_knn4,binary_band,,0.0,0.037708871910715244,0.008294527581751037,0.02145159785048321,0.053966145970947274,0.03251454812046406,4.54623503738529,5.461404655966453e-06,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_binary_knn3,binary_band,,0.0,0.037708871910715244,0.00821606406559842,0.021605386342142343,0.05381235747928814,0.032206971137145796,4.589651639719621,4.439863580471479e-06,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
Contig,Spatial HAC binary_band_binary_knn4,binary_band,,0.0,0.037708871910715244,0.008294527581751037,0.02145159785048321,0.053966145970947274,0.03251454812046406,4.54623503738529,5.461404655966453e-06,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
