model,sample,w_matrix,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs,lam_geo,se_lam_geo,p_lam_geo,n_co_geo,n_obs_geo,gap_vs_geo,se_gap,z_gap,p_gap_onesided
FE W_bank_count (noncontig),NonContig,W_bank_count,0.019292363409006273,0.006187017499750896,3.118200879467858,0.0018195873818407436,0.6271326436057338,0.03599569371070003,17.422435268119678,5.575283307324047e-68,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.42594598417337237,0.03795976815473481,11.220984871063894,1.608339764391803e-29
FE W_bank_binary (noncontig),NonContig,W_bank_binary,0.018594730153026966,0.005176609945532155,3.592067076461066,0.00032806537584851545,0.39077589538240914,0.06695841722293558,5.836098157477875,5.343742219867884e-09,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.1895892359500477,0.06803443003103211,2.7866660434073096,0.0026626664044607866
FE W_bank_knn3 (noncontig),NonContig,W_bank_knn3,0.02166215861974785,0.006240347225490904,3.471306617564662,0.00051793223279318,0.23563173070331855,0.01321885138453216,17.82543156351992,4.486155405311746e-71,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.03444507127095711,0.017888322016696736,1.9255618966835746,0.027079550152101457
FE W_bank_knn4 (noncontig),NonContig,W_bank_knn4,0.021406375597132182,0.006498052838429914,3.2942753974749888,0.0009867576855591906,0.27380467440562656,0.014231528502234945,19.239301973967713,1.735294763450778e-82,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.07261801497326512,0.01864914035972208,3.8939068274752002,4.932127514846882e-05
FE W_bank_count_knn3 (noncontig),NonContig,W_bank_count_knn3,0.022610702540067487,0.006302525635694708,3.587562169047041,0.0003337841633279937,0.24316630299720537,0.01279304608262487,19.007693822620286,1.4728673502106372e-80,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.04197964356484393,0.017576008099646885,2.3884629164279536,0.008459507854194286
FE W_bank_count_knn4 (noncontig),NonContig,W_bank_count_knn4,0.02268086358172973,0.006455593173734628,3.513366312178655,0.00044246701120529623,0.26487029193160017,0.01378077313974409,19.220278082055334,2.504243646865543e-82,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.06368363249923872,0.01830747773386005,3.4785585117197524,0.00025205918438173786
FE W_bank_binary_knn3 (noncontig),NonContig,W_bank_binary_knn3,0.02119862314502994,0.006226441400233902,3.4046129694938743,0.0006625788794432573,0.23351489680791085,0.01352508180576192,17.265322322000998,8.58233001765354e-67,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.03232823737554941,0.018115790639639265,1.7845336159279632,0.03716849874135417
FE W_bank_binary_knn4 (noncontig),NonContig,W_bank_binary_knn4,0.020879454734099405,0.006494537335878011,3.2149256604861236,0.0013047830762206044,0.27456529863989865,0.014672551776565783,18.71285259857932,3.8898612095379765e-78,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.0733786392075372,0.01898783316449492,3.8645083181343134,5.565659842277311e-05
FE W_bank_nonGeo (noncontig),NonContig,W_bank_nonGeo,0.017029068502344303,0.005847318019984175,2.9122870423918537,0.003587927588074876,0.5498388395951047,0.04858037808141339,11.318125986456048,1.0672906101942739e-29,634,6974,0.20190929176124292,0.012015327289798844,2.2693562869338026e-63,634,6974,0.34792954783386176,0.05004419271418069,6.95244600749192,1.7950312829591373e-12
FE W_bank_interstate (noncontig),NonContig,W_bank_interstate,0.016432713636677594,0.004983736168514961,3.2972679694587774,0.0009763030515658652,0.1482814056713973,0.08188110508363208,1.8109355695669347,0.07015082577723993,620,6820,0.20415911082594893,0.012081286239034176,4.5923909631347196e-64,620,6820,-0.05587770515455162,0.08276758330956799,-0.6751158233720245,0.7501989093744297
FE W_bank_intrastate (noncontig),NonContig,W_bank_intrastate,0.024333826835879868,0.007296236099691797,3.3351205338472756,0.0008526243336973812,0.3403420783935144,0.018851207139053493,18.05412650145028,7.321092298341729e-73,638,7018,0.20123838139802416,0.012063946731866159,1.8025588742119942e-62,638,7018,0.13910369699549022,0.022380947731246895,6.215272859123934,2.561776938105903e-10
